system:index,audit_seed,latitude,longitude,map_year,p_mangrove,prediction,reference,reference_source,reference_year,temporal_gap_years,.geo
0_0,295698,4.47536182971925,100.63237731479902,1993,0.5189426,1,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.63237731479902,4.47536182971925]}"
1_0,295698,4.737310566568503,100.6870847156019,1993,0.038577046,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.6870847156019,4.737310566568503]}"
2_0,295698,4.912212552386574,100.65582334371454,1993,0.051938713,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.65582334371454,4.912212552386574]}"
3_0,295698,4.555940710704772,100.57362749521761,1993,0.10250586,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.57362749521761,4.555940710704772]}"
4_0,295698,4.682064176595152,100.6946305639885,1993,0.18975952,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.6946305639885,4.682064176595152]}"
5_0,295698,4.653497750560152,100.68977966145425,1993,0.05488997,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.68977966145425,4.653497750560152]}"
6_0,295698,4.476439808060194,100.64154013069704,1993,0.046549026,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.64154013069704,4.476439808060194]}"
7_0,295698,4.681525187424681,100.70109843403417,1993,0.30566433,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.70109843403417,4.681525187424681]}"
8_0,295698,4.538693057249676,100.61998056387817,1993,0.04780612,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.61998056387817,4.538693057249676]}"
9_0,295698,4.793904429468033,100.66660312712398,1993,0.3230518,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.66660312712398,4.793904429468033]}"
10_0,295698,4.4834466672763265,100.60650583461637,1993,0.05519842,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.60650583461637,4.4834466672763265]}"
11_0,295698,4.707935656777795,100.69355258564755,1993,0.058998376,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.69355258564755,4.707935656777795]}"
12_0,295698,4.643256956321189,100.60569735086067,1993,0.04780612,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.60569735086067,4.643256956321189]}"
13_0,295698,4.8019892670251085,100.54560005835307,1993,0.029103283,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.54560005835307,4.8019892670251085]}"
14_0,295698,4.766954970944448,100.67846088887435,1993,0.20927182,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.67846088887435,4.766954970944448]}"
15_0,295698,4.915446487409404,100.65043345200982,1993,0.06632843,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.65043345200982,4.915446487409404]}"
16_0,295698,4.837293057691006,100.62968236894666,1993,0.019040974,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.62968236894666,4.837293057691006]}"
17_0,295698,4.923800819551715,100.57578345189948,1993,0.025341496,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.57578345189948,4.923800819551715]}"
18_0,295698,4.776926270598174,100.56284771180817,1993,0.104896575,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.56284771180817,4.776926270598174]}"
19_0,295698,4.576422299182696,100.58225132194515,1993,0.083296955,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.58225132194515,4.576422299182696]}"
20_0,295698,4.819775909650675,100.6585182895669,1993,0.33850625,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.6585182895669,4.819775909650675]}"
21_0,295698,4.917871938676527,100.4337598054802,1993,0.028925765,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.4337598054802,4.917871938676527]}"
22_0,295698,4.949941794319594,100.54101865040407,1993,0.0446918,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.54101865040407,4.949941794319594]}"
23_0,295698,4.748629339148409,100.70217641237511,1993,0.032686915,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.70217641237511,4.748629339148409]}"
24_0,295698,4.651611288463501,100.62402298265671,1993,0.056630515,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.62402298265671,4.651611288463501]}"
25_0,295698,4.764260025092089,100.6127042100768,1993,0.094525196,0,0,CGMD_exactyear,1993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.6127042100768,4.764260025092089]}"
