system:index,audit_seed,latitude,longitude,map_year,p_mangrove,prediction,reference,reference_source,reference_year,temporal_gap_years,.geo
0_0,295868,4.573188364159867,100.68304229682336,2003,0.024293754,0,0,CGMD_exactyear,2003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.68304229682336,4.573188364159867]}"
1_0,295868,4.669128436503831,100.6043498779345,2003,0.05552177,0,0,CGMD_exactyear,2003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.6043498779345,4.669128436503831]}"
2_0,295868,4.8925394476643564,100.53670673704029,2003,0.09511506,0,0,CGMD_exactyear,2003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.53670673704029,4.8925394476643564]}"
3_0,295868,4.768571938455862,100.60758381295732,2003,0.05552177,0,0,CGMD_exactyear,2003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.60758381295732,4.768571938455862]}"
4_0,295868,4.697425367953596,100.58009536526326,2003,0.04525035,0,0,CGMD_exactyear,2003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.58009536526326,4.697425367953596]}"
5_0,295868,4.464851540895052,100.62590944475336,2003,0.18170246,0,0,CGMD_exactyear,2003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.62590944475336,4.464851540895052]}"
6_0,295868,4.781238183961948,100.56446467931958,2003,0.05391104,0,0,CGMD_exactyear,2003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.56446467931958,4.781238183961948]}"
7_0,295868,4.939701000080631,100.58575475155321,2003,0.017783059,0,0,CGMD_exactyear,2003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.58575475155321,4.939701000080631]}"
8_0,295868,4.79929432117275,100.54694753127926,2003,0.04525035,0,0,CGMD_exactyear,2003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.54694753127926,4.79929432117275]}"
9_0,295868,4.520367425453639,100.61162623173585,2003,0.052662317,0,0,CGMD_exactyear,2003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.61162623173585,4.520367425453639]}"
