system:index,audit_seed,latitude,longitude,map_year,p_mangrove,prediction,reference,reference_source,reference_year,temporal_gap_years,.geo
0_0,296038,4.893347931420064,100.47607045536222,2013,0.20685096,0,0,CGMD_exactyear,2013,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.47607045536222,4.893347931420064]}"
1_0,296038,4.6332856566674625,100.68600673726095,2013,0.026647199,0,0,CGMD_exactyear,2013,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.68600673726095,4.6332856566674625]}"
2_0,296038,4.917871938676527,100.45208543727622,2013,0.14538302,0,0,CGMD_exactyear,2013,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.45208543727622,4.917871938676527]}"
3_0,296038,4.860469592021289,100.48307731457835,2013,0.36122093,0,0,CGMD_exactyear,2013,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.48307731457835,4.860469592021289]}"
4_0,296038,4.78824504317808,100.55422388508062,2013,0.43394467,0,0,CGMD_exactyear,2013,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.55422388508062,4.78824504317808]}"
5_0,296038,4.910865079460395,100.59195312701364,2013,0.03488291,0,0,CGMD_exactyear,2013,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.59195312701364,4.910865079460395]}"
6_0,296038,4.865859483726006,100.52916088865369,2013,0.3564423,0,0,CGMD_exactyear,2013,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.52916088865369,4.865859483726006]}"
7_0,296038,4.508240169118025,100.6593267733226,2013,0.027877437,0,0,CGMD_exactyear,2013,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.6593267733226,4.508240169118025]}"
8_0,296038,4.9202973899436495,100.47526197160651,2013,0.42481932,0,0,CGMD_exactyear,2013,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.47526197160651,4.9202973899436495]}"
9_0,296038,4.612534573604301,100.61809410178152,2013,0.27359158,0,0,CGMD_exactyear,2013,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.61809410178152,4.612534573604301]}"
10_0,296038,4.960182588558556,100.47795691745887,2013,0.0349088,0,0,CGMD_exactyear,2013,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.47795691745887,4.960182588558556]}"
11_0,296038,4.727608761500012,100.5774004194109,2013,0.029659938,0,0,CGMD_exactyear,2013,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.5774004194109,4.727608761500012]}"
12_0,296038,4.614960024871424,100.62105854221912,2013,0.05231446,0,0,CGMD_exactyear,2013,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.62105854221912,4.614960024871424]}"
13_0,296038,4.5564796998752435,100.67226251341393,2013,0.035168882,0,0,CGMD_exactyear,2013,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.67226251341393,4.5564796998752435]}"
14_0,296038,4.605797208973405,100.6908576397952,2013,0.05281009,0,0,CGMD_exactyear,2013,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.6908576397952,4.605797208973405]}"
15_0,296038,4.889844501811997,100.62510096099766,2013,0.030737724,0,0,CGMD_exactyear,2013,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.62510096099766,4.889844501811997]}"
16_0,296038,4.75374973626789,100.57713092482567,2013,0.12834533,0,0,CGMD_exactyear,2013,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.57713092482567,4.75374973626789]}"
17_0,296038,4.593939447223027,100.6156686505144,2013,0.52808094,0,0,CGMD_exactyear,2013,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.6156686505144,4.593939447223027]}"
18_0,296038,4.921105873699357,100.4345682892359,2013,0.071967274,0,0,CGMD_exactyear,2013,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.4345682892359,4.921105873699357]}"
19_0,296038,4.638406053786944,100.60111594291166,2013,0.029930813,0,0,CGMD_exactyear,2013,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.60111594291166,4.638406053786944]}"
20_0,296038,4.769919411382042,100.60785330754256,2013,0.14509955,0,0,CGMD_exactyear,2013,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.60785330754256,4.769919411382042]}"
