system:index,EVI_median,EVI_p25,EVI_p75,MNDWI_median,MNDWI_p25,MNDWI_p75,NBR_median,NBR_p25,NBR_p75,NDMI_median,NDMI_p25,NDMI_p75,NDVI_median,NDVI_p25,NDVI_p75,n_valid_ndmi,year,.geo
0,0.5019419273897315,0.47463721649185736,0.5331742987884482,-0.2323748172383871,-0.2793160608590367,-0.1816327668912744,0.8506002866546581,0.8173708405656558,0.8779088158856091,0.6181738120162756,0.5751797098231631,0.6493558338035396,0.797860473727445,0.7548696348232785,0.8271797163049305,344449,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.505887327166176,0.47854879967411346,0.5409692657037855,-0.27733581294823245,-0.31641803168598986,-0.23837581701773974,0.87305945639683,0.8418254954502835,0.9004003500901984,0.6367693150854222,0.5899340102061741,0.6679205356120355,0.8340091471241663,0.8027577234643285,0.8574032832269033,344170,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.517582456003718,0.48634963187669106,0.5527045869325026,-0.2792679290964121,-0.3105168023636688,-0.2480644687698681,0.8808653806208916,0.8457355463180916,0.9003597310300604,0.646490331978861,0.5957251304275918,0.6738044914083942,0.8417914636147581,0.8145179855127405,0.861305592758658,344449,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.5136431374545293,0.48246036853021873,0.5448687086745007,-0.3027094075337097,-0.3378587823095579,-0.2714688950108822,0.8847792018754173,0.8496257659687834,0.9043105008219288,0.6465410842984631,0.5957483802771544,0.6738413943716075,0.8496077042898642,0.822313484692119,0.8652017132882254,344449,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.513665543696341,0.48247720475913,0.548790950100847,-0.3086344793807496,-0.34760422266805063,-0.2696888456301162,0.8770040298995978,0.8418324579598208,0.9003538915235998,0.6308621937966576,0.5762134338332008,0.6620572526605659,0.8457154593981238,0.8184135869664824,0.861299269644967,344449,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.5175864643016334,0.48247544591348474,0.5487884071188726,-0.3086406462948689,-0.34765101277856414,-0.2696310422403698,0.8574373976264457,0.8222923104218888,0.8808368129345522,0.6152686187080646,0.5644726556419526,0.6503529622398242,0.8301217875537473,0.7988699359292579,0.8535052328785382,344449,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.5215198936523782,0.4902680823720235,0.5527065259381295,-0.34754507817129787,-0.3865953587000772,-0.3165420255727861,0.8848243384450248,0.8496545746850401,0.9082593049629194,0.6426761385330318,0.5840055480697162,0.6699139921992961,0.8633117728925639,0.832303375820068,0.8788150682898352,344449,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.5175872681738689,0.4902902580264642,0.5448884748757159,-0.3399070498095485,-0.37101857468311156,-0.30864673380183744,0.8691756242997386,0.833987098001737,0.8925706657458311,0.6269809552048831,0.5683349045133345,0.658189076434035,0.855536995825857,0.8244625641007868,0.8710592683101156,344449,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.5136795419492458,0.48244773218050696,0.5409896324706582,-0.33987349462593963,-0.38669615438497457,-0.30086003612040385,0.8496258672419007,0.8184047359031733,0.8769346985548067,0.6113641021066583,0.5605598705256507,0.6425863838426418,0.8399001914667416,0.8087933223427302,0.8554111035087678,344449,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.5019599494700496,0.4668168528630068,0.5331725396057747,-0.39447878387230734,-0.4335386352407334,-0.3476408542021379,0.8378774318490009,0.7988735880751562,0.8613314780453539,0.5879240865969527,0.5332219737709957,0.619139367642015,0.8555469069367211,0.8166075872585846,0.8710525434929334,344449,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
