year,balanced_agreement_mean,balanced_agreement_sd,balanced_agreement_min,balanced_agreement_max,agreement_q025,agreement_q975,Kappa_mean,Kappa_sd,PA_mangrove_mean,UA_mangrove_mean,PA_nonmangrove_mean,UA_nonmangrove_mean,n_mean
1993,0.9154,0.0068019605016985075,0.908,0.932,0.90845,0.9288500000000001,0.8308,0.013603921003397038,0.8612,0.9662405468603608,0.9696,0.8750771529520961,500.0
2003,0.9269999999999999,0.010033277962194914,0.912,0.946,0.9129,0.9441999999999999,0.8540000000000001,0.02006655592438983,0.8619999999999999,0.9908015603810705,0.992,0.8780818322909368,500.0
2013,0.9467508874206503,0.013016285993774952,0.926,0.9637096774193548,0.92735,0.963325,0.8935316239799359,0.026073347346754202,0.9003065941184092,0.9924740050664467,0.9931951807228916,0.9091725342013106,499.6
2023,0.9635999999999999,0.007290785661062562,0.952,0.976,0.9529,0.9751,0.9272,0.014581571322125116,0.966,0.9614976938645972,0.9612,0.9659396944752933,500.0
