year,stable_mangrove_area_ha,median_decline_magnitude,p90_decline_magnitude
1994,832.4870604963959,0.3280072808265686,0.6303538680076599
1995,1063.6679653480892,0.32579776644706726,0.5714799165725708
1996,907.5397314094782,0.3950241208076477,0.6311612725257874
1997,1405.7646089540558,0.2897028625011444,0.6303499341011047
1998,1296.767873603158,0.13062596321105957,0.5354929566383362
1999,840.9805777164742,0.3966519236564636,0.5859061479568481
2000,1135.2631681060586,0.25591203570365906,0.5684216022491455
2001,1128.7257310129546,0.06936782598495483,0.5005479454994202
2002,2503.724466098534,0.06970763206481934,0.5202409029006958
2003,641.1187461732198,0.3770866394042969,0.6048474907875061
2004,1154.4709061479107,0.2300897091627121,0.5512397885322571
2005,1219.806639013199,0.1952706277370453,0.5805559158325195
2006,941.0478005554938,0.3070661127567291,0.6064643859863281
2007,708.9412701496273,0.375868558883667,0.6146396398544312
2008,1726.7557594351977,0.214772567152977,0.5935556888580322
2009,1131.8025054501165,0.2670520842075348,0.593178391456604
2010,877.0674926483928,0.33966323733329773,0.5609391927719116
2011,955.7176617073634,0.29777950048446655,0.6212508678436279
2012,1622.4695643708665,0.15966667234897614,0.6148291230201721
2013,790.3030311464207,0.329069584608078,0.5831815004348755
2014,1492.7019897775958,0.17741361260414124,0.5441735982894897
2015,848.4799432274451,0.3335374593734741,0.5574617385864258
2016,1034.2258937797453,0.265755832195282,0.5169467926025391
2017,818.8929818356569,0.3597797751426697,0.582212507724762
2018,821.3787291990109,0.30970874428749084,0.5774843692779541
2019,973.4562852663928,0.21471920609474182,0.541094183921814
2020,756.9780894259642,0.16606241464614868,0.4791806936264038
2021,321.7200538665678,0.13927587866783142,0.4325540065765381
2022,549.7160276151,0.049469202756881714,0.09337719529867172
2023,187.46005130701437,0.05793556571006775,0.12266623973846436
