year,feature,importance,importance_pct
1993,BSI,62.85155395572317,14.719923345398998
1993,EVI,42.772101694363165,10.017287061926426
1993,MNDWI,27.84088659316657,6.520375244947167
1993,NBR,57.19963045577365,13.396234821612858
1993,NDMI,38.50846603342138,9.01873752493351
1993,NDVI,39.4821337146409,9.24677188095819
1993,blue,12.669890336166768,2.967306340180058
1993,green,18.243787045528705,4.272720878614209
1993,nir,34.8210036316303,8.155128584864288
1993,red,19.69014028585624,4.611458864996996
1993,swir1,40.71966812259776,9.536604199746227
1993,swir2,32.183627110432155,7.537451251821089
2003,BSI,48.3795399120832,12.709286862937494
2003,EVI,33.50979127195374,8.803009511176658
2003,MNDWI,31.09329752019949,8.168197515251284
2003,NBR,49.63871337177299,13.040071255233833
2003,NDMI,37.435735091867336,9.834353469918948
2003,NDVI,34.29465369297925,9.009192572753511
2003,blue,18.796443722752183,4.937818666933077
2003,green,16.98479344775619,4.4618988239150355
2003,nir,30.110917812054726,7.91012673694646
2003,red,24.68912819237409,6.485824651555857
2003,swir1,29.118300597410887,7.649366569550826
2003,swir2,26.611585133158183,6.990853363827012
2013,BSI,66.81191118273885,12.04469279003089
2013,EVI,52.7473409386693,9.509165444460905
2013,MNDWI,51.82283602466224,9.342497892598297
2013,NBR,65.20280142825104,11.754606302230268
2013,NDMI,46.81884570298867,8.440390392874244
2013,NDVI,50.18936946370338,9.048020417530637
2013,blue,33.40160396459589,6.021561894067991
2013,green,38.127448987537626,6.873526019430948
2013,nir,34.29342984975135,6.182338148163084
2013,red,32.923671774018736,5.93540141297917
2013,swir1,32.99948335568488,5.949068545005936
2013,swir2,49.361259622496014,8.898730740627624
2023,BSI,32.09539524777766,9.22396210327605
2023,EVI,22.018555850373016,6.327958361776856
2023,MNDWI,28.29459964279965,8.13164358368895
2023,NBR,56.640077006941176,16.277909021071725
2023,NDMI,46.80858251376747,13.452415459658717
2023,NDVI,18.06136937458109,5.190694345972951
2023,blue,17.102211683351374,4.915040030870499
2023,green,19.125084519925142,5.496397644330484
2023,nir,27.887865539375746,8.014751427442585
2023,red,17.92295532204318,5.15091524478681
2023,swir1,28.1764151330617,8.097678292699346
2023,swir2,33.823600134479186,9.720634484425029
