year,raw_mapped_area_ha,probability_weighted_support_area_ha,CGMD_extent_area_ha,RF_minus_CGMD_ha,RF_minus_CGMD_pct
1993,36058.13198558692,43303.175275679096,42972.02188708438,-6913.8899014974595,-16.089282276884184
2003,35180.19987165313,43499.45264678448,42756.81903742866,-7576.619165775526,-17.720259215595696
2013,36239.00769842407,43629.03957112959,41565.01218527356,-5326.004486849488,-12.813672381735726
2023,38934.16509477801,55286.37396000743,41282.37455560149,-2348.209460823484,-5.688164709761982
