driver,year,value,robust_z
sea_surface_elevation_anomaly_m,2001,0.2354693873223759,-5.621072211123516
sea_surface_salinity_psu,2018,24.50466547798741,-5.3179425717700095
sea_surface_salinity_psu,2020,24.62366611779221,-5.206111531745393
