system:index,baseline_mangrove_area_ha,distance_bin,distance_code,loss_area_ha,loss_fraction,.geo,loss_pct
0,1000.012273503849,0-60 m,1,634.7292168632247,0.6347214266073522,"{""type"":""MultiPoint"",""coordinates"":[]}",63.47214266073522
1,2200.792133061941,60-120 m,2,340.418467266056,0.1546799727934482,"{""type"":""MultiPoint"",""coordinates"":[]}",15.46799727934482
2,6551.984367513704,120-300 m,3,759.0085875514848,0.1158440779124611,"{""type"":""MultiPoint"",""coordinates"":[]}",11.58440779124611
3,26305.343211507778,>300 m,4,3634.565467340152,0.1381683347796101,"{""type"":""MultiPoint"",""coordinates"":[]}",13.81683347796101
