year,n,balanced_accuracy,BA_lo,BA_hi,Kappa,PA_mangrove,UA_mangrove,F1_mangrove,F1_lo,F1_hi
1993,500,0.9119999999999999,0.8876610291901965,0.935718348129841,0.8240000000000001,0.844,0.9768518518518519,0.9055793991416309,0.8767756281243912,0.9324338579085415
2003,500,0.9299999999999999,0.9070620823673702,0.9504967683238175,0.86,0.864,0.9953917050691244,0.9250535331905781,0.897872087734371,0.9480526809533582
2013,500,0.962,0.9448923033827976,0.9780718228434819,0.924,0.936,0.9873417721518988,0.9609856262833676,0.9426751592356688,0.9776898805499211
2023,500,0.968,0.9520810793947392,0.9821737459158177,0.9359999999999999,0.972,0.9642857142857143,0.9681274900398407,0.9520149712092131,0.9827271793102689
