feature,importance_pct
blue,4.710431733012906
green,5.276135841572669
red,5.545900043579708
nir,7.565586224354105
swir1,7.808179401750584
MNDWI,8.040678559121424
NDVI,8.123669804303823
swir2,8.286917460175188
EVI,8.664355094835212
NDMI,10.186474211846354
BSI,12.174466275410857
NBR,13.617205350037171
