year,precipitation_mm,sea_surface_elevation_anomaly_m,sea_surface_temperature_C,sea_surface_salinity_psu,air_temperature_2m_C,VPD_kPa,precipitation_mm_robust_z,precipitation_mm_flag,sea_surface_elevation_anomaly_m_robust_z,sea_surface_elevation_anomaly_m_flag,sea_surface_temperature_C_robust_z,sea_surface_temperature_C_flag,sea_surface_salinity_psu_robust_z,sea_surface_salinity_psu_flag,air_temperature_2m_C_robust_z,air_temperature_2m_C_flag,VPD_kPa_robust_z,VPD_kPa_flag
1993.0,3120.08371631006,0.651929029362025,29.051734569800058,29.47975296821609,25.896070830317345,0.4657800102375122,-0.03177078484866707,False,0.7054018136514443,False,-1.4547877687061523,False,-0.6425962109576157,False,-1.3548178353810552,False,-1.2696106513208165,False
1994.0,2961.579513089922,0.5871551705419343,29.33415656556869,30.29036116056205,26.084013528733465,0.4982598298621673,-0.46555715732415887,False,-0.2785834131108886,False,-0.7241064265242647,False,0.11917412364914201,False,-0.8366356525961671,False,-0.39488885838968735,False
1995.0,3349.1717010081243,0.6383760496933208,29.508513208463818,29.96800041399533,26.130546175932977,0.4906765609464159,0.5951857490539526,False,0.49951734087893745,False,-0.2730114418641187,False,-0.1837648992905734,False,-0.708339161698628,False,-0.5991156878154816,False
1996.0,2931.270237045508,0.6366036220880992,29.31704151437926,29.96008069427806,25.95904220433181,0.4878774208288738,-0.5485060674511941,False,0.47259224160566515,False,-0.7683864357373242,False,-0.19120746845775377,False,-1.1811976611749182,False,-0.6744999999999999,False
1997.0,2100.5907052693115,0.5514856088906627,29.35333037660388,30.16354666470023,25.984781744232805,0.4718058109901429,-2.821868246234444,False,-0.82044277349615,False,-0.6745,False,0.0,False,-1.1102304404093302,False,-1.107328369611783,False
1998.0,2879.068042592869,0.6577734168495754,29.90531063843077,30.40256247113225,26.58158115150013,0.4945563567230899,-0.6913704212464097,False,0.7941844036033101,False,0.7535816813574018,False,0.22461548323991604,False,0.5352222542082925,False,-0.4946279795339133,False
1999.0,3509.806088323609,0.6514356990292105,29.25104828684706,29.73924582473735,25.84863426582081,0.4850171831660906,1.0348019027759519,False,0.6979075903915408,False,-0.9391239164951811,False,-0.39873738741404907,False,-1.485606542480532,False,-0.7515297447926617,False
2000.0,3288.574654782196,0.6647877486361109,29.29490525823612,29.885978477852387,26.11566450911664,0.5157341153836313,0.4293467849693998,False,0.9007397174179573,False,-0.8256572913784727,False,-0.2608451438904672,False,-0.7493698304043254,False,0.07571530561628126,False
2001.0,2961.3855460603795,0.2354693873223759,29.451121340882043,29.963530555226907,26.142819510626964,0.5129226849504169,-0.46608799658529926,False,-5.621072211123516,True,-0.4214955099015472,False,-0.18796545615863658,False,-0.6745,False,0.0,False
2002.0,2545.2839611685445,0.5926094837204057,29.77965549029644,30.797516938239045,26.55050920108414,0.5684065245552844,-1.6048539941080664,False,-0.1957264753351474,False,0.42848705818197885,False,0.5957745702109636,False,0.4495528920801939,False,1.4942485586044323,False
2003.0,3383.243679327161,0.6054937819150319,29.493661965002996,30.67500636296599,26.45597216945066,0.5485654810993904,0.688432234496054,False,0.0,False,-0.3114345344971473,False,0.48064506276232594,False,0.1889021415127083,False,0.959904670432414,False
2004.0,2899.4797354131697,0.5979200330845074,29.64412190845006,30.892465479292763,26.50356066266221,0.5682562330000329,-0.6355087216528349,False,-0.11505346595366231,False,0.07783498087224278,False,0.6850026122809416,False,0.32010973561251393,False,1.4902010207735203,False
2005.0,2930.226676244738,0.6146058594393886,29.685102365117515,30.797599085254244,26.68178231213375,0.5936216041661444,-0.5513620324352583,False,0.13842234865122943,False,0.1838594957104334,False,0.5958517679988049,False,0.8114897366499171,False,2.173321900174654,False
